"","Site.of.Cancer","Average.Annual.Cases.malefemale","incidence.rate.per.100.000.Population.malefemale","incidence.95lower.malefemale","incidence.95upper.malefemale","Average.Annual.Cases.male","incidence.rate.per.100.000.male","incidence.95lower.male","incidence.95upper.male","Average.Annual.Cases.female","Rate.per.100.000.female","incidence.95lower.female","incidence.95upper.female","Average.Annual.Deaths.malefemale","mortality.rate.per.100.000.Population.malefemale","mortality.95lower.malefemale","mortality.95upper.malefemale","Average.Annual.Deaths.male","mortality.rate.per.100.000.male","mortality.95lower.male","mortality.95upper.male","Average.Annual.Deaths.female","mortality.rate.per.100.000.female","mortality.95lower.female","mortality.95upper.female","county.name"
"126","Thyroid",11.6,14.1,10.5,18.5,2.4,5.8,2.9,10.5,9.2,22.1,15.8,30,0.2,0.2,0,1.4,0,0,0,2,0.2,0.5,0,2.7,"Cattaraugus"
"127","Hodgkin lymphoma",2.6,3.3,1.7,5.7,1.6,3.8,1.6,7.8,1,2.9,0.9,6.7,0.8,0.7,0.2,2.1,0.2,0.5,0,2.9,0.6,0.8,0.2,3,"Cattaraugus"
"128","Non-Hodgkin lymphomas",20.2,19.4,15.7,23.8,10.4,21.9,16.2,29.2,9.8,16.6,12.2,22.2,7,6.1,4.2,8.7,3.2,6,3.4,10,3.8,5.9,3.6,9.7,"Cattaraugus"
"129","Myeloma",5.8,5.8,3.8,8.4,3,6.3,3.5,10.6,2.8,5.3,2.9,9.3,1.6,1.6,0.7,3.2,0.8,1.6,0.4,4.4,0.8,1.4,0.4,4,"Cattaraugus"
"130","Leukemias",15.6,15.2,11.9,19.2,7.6,17.1,11.9,23.8,8,14,9.8,19.6,4.2,3.9,2.4,6.1,2.4,5.4,2.8,9.6,1.8,3.1,1.4,6.3,"Cattaraugus"
"131","All Invasive Malignant Tumors",549.2,522.6,502.5,543.4,294.4,581.8,551.5,613.4,254.8,476.8,449.5,505.5,179,163.6,152.7,175,95.8,193.7,176.3,212.4,83.2,141.9,128,157,"Cayuga"
"132","Oral cavity and pharynx",12.8,12,9.1,15.5,8.6,17,12.1,23.2,4.2,6.7,4.1,10.7,1.6,1.3,0.6,2.8,0.4,0.7,0.1,3,1.2,1.8,0.6,4.5,"Cayuga"
"133","Esophagus",7.4,6.4,4.5,9,6,10.8,7.2,15.7,1.4,2.5,1,5.6,7.4,6.3,4.4,8.8,6.6,12.1,8.3,17.4,0.8,1.1,0.3,3.6,"Cayuga"
"134","Stomach",8.4,8.5,6,11.6,6,12.6,8.5,18.3,2.4,4.9,2.4,9,2.4,2.6,1.3,4.7,2,4.8,2.2,8.9,0.4,0.6,0.1,2.9,"Cayuga"
"135","Colorectal",39.4,36.3,31.3,42.1,21,40.7,33,49.7,18.4,31.5,25,39.2,15.2,13.3,10.4,16.8,8.6,17.6,12.7,24,6.6,10.1,6.9,14.7,"Cayuga"
"136","Colon excluding rectum",27.2,24.5,20.4,29.2,11.4,22,16.5,28.8,15.8,26.2,20.5,33.3,12.8,11.2,8.6,14.5,7,14.5,10,20.4,5.8,8.8,5.8,13.1,"Cayuga"
"137","Rectum & rectosigmoid",12.2,11.9,9,15.5,9.6,18.7,13.6,25.2,2.6,5.2,2.6,9.4,2.4,2.1,1.1,3.8,1.6,3.1,1.3,6.4,0.8,1.3,0.3,4,"Cayuga"
"138","Liver / intrahepatic bile duct",6.6,6.2,4.2,9,4.2,8.2,5,12.9,2.4,4.5,2.2,8.3,7.2,6.7,4.6,9.5,5.6,11.4,7.4,16.7,1.6,2.7,1.1,5.7,"Cayuga"
"139","Pancreas",11.2,9.8,7.4,13,4.2,8.1,5,12.7,7,11.5,7.9,16.5,8.8,7.6,5.5,10.4,3.8,7.6,4.6,12.2,5,7.6,4.9,11.7,"Cayuga"
"140","Larynx",4.4,3.8,2.4,6,3.6,6.4,3.8,10.5,0.8,1.5,0.4,4.2,1.4,1.2,0.5,2.8,1.2,2.1,0.8,5,0.2,0.4,0,2.6,"Cayuga"
"141","Lung and bronchus",90.2,82.6,74.9,90.8,46.2,89.2,77.8,101.9,44,77.6,67.4,89.1,53.6,49.4,43.5,56,26.8,53.6,44.7,63.9,26.8,46.4,38.6,55.5,"Cayuga"
"142","Melanoma of the skin",26.6,27.7,23,33.1,14,29,22.4,37,12.6,27.8,21,36.2,3.2,3,1.7,5,2.2,4.7,2.3,8.7,1,1.5,0.5,4,"Cayuga"
"143","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,67.4,129.3,115,144.9,NA,NA,NA,NA,NA,NA,NA,NA,10.6,19.4,14.3,25.9,"Cayuga"
"144","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,2.8,7.1,3.7,12.3,NA,NA,NA,NA,NA,NA,NA,NA,1,2.3,0.6,5.7,"Cayuga"
"145","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,19.4,34.5,27.7,42.7,NA,NA,NA,NA,NA,NA,NA,NA,1.4,2.2,0.9,5.1,"Cayuga"
"146","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,4.8,9.2,5.7,14.3,NA,NA,NA,NA,NA,NA,NA,NA,3,5.8,3.2,10,"Cayuga"
"147","Prostate",NA,NA,NA,NA,78.8,143.9,129.7,159.4,NA,NA,NA,NA,NA,NA,NA,NA,7.2,15.2,10.6,21.3,NA,NA,NA,NA,"Cayuga"
"148","Testis",NA,NA,NA,NA,3.8,10.3,6.1,16.1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.5,0,3,NA,NA,NA,NA,"Cayuga"
"149","Urinary bladder (incl. in situ)",31,28.8,24.4,34,23.6,48,39.5,57.8,7.4,13,9,18.5,4.8,4.1,2.6,6.2,2.8,5.2,2.8,9.1,2,3.3,1.5,6.5,"Cayuga"
"150","Kidney and renal pelvis",18.4,18.3,14.6,22.8,13.2,25.9,19.8,33.5,5.2,10.6,6.7,16.1,5.2,4.3,2.8,6.5,3.4,6.3,3.6,10.4,1.8,2.8,1.3,5.9,"Cayuga"
"151","Brain and other central nervous system",6.4,7.1,4.7,10.2,4.2,9.5,5.7,14.8,2.2,4.9,2.3,9.2,3.8,3.7,2.2,6,2,4.3,2,8.1,1.8,3.2,1.4,6.6,"Cayuga"
"152","Thyroid",10.6,12.8,9.4,17,3.8,8.9,5.2,14.3,6.8,17.5,11.8,24.9,0.2,0.1,0,1.2,0.2,0.3,0,2.3,0,0,0,2.1,"Cayuga"
"153","Hodgkin lymphoma",2.6,2.9,1.5,5.2,2,4.6,2.2,8.7,0.6,1.4,0.3,4.4,0.4,0.4,0,1.6,0.4,1,0.1,3.6,0,0,0,2.1,"Cayuga"
"154","Non-Hodgkin lymphomas",22.6,22.8,18.6,27.7,12.4,26.3,20,34.1,10.2,20,14.5,26.9,6.8,6.3,4.3,9,3.2,6.7,3.7,11.1,3.6,6.2,3.5,10.2,"Cayuga"
"155","Myeloma",5,4.7,3,7.1,1.8,3.8,1.7,7.4,3.2,5.7,3.2,9.7,2,2,0.9,3.8,1.2,2.4,0.9,5.5,0.8,1.5,0.4,4.2,"Cayuga"
"156","Leukemias",19,18.5,14.8,22.9,12,24.5,18.5,31.9,7,12.8,8.7,18.4,6.2,5.7,3.8,8.3,3.8,7.7,4.6,12.3,2.4,4.1,2.1,7.6,"Cayuga"
"157","All Invasive Malignant Tumors",941.2,530.1,514.3,546.3,500.8,587.2,563.6,611.6,440.4,486.4,464.9,508.7,296.4,157.3,149.2,165.9,156,185.6,172.5,199.6,140.4,136.4,126,147.4,"Chautauqua"
"158","Oral cavity and pharynx",29.4,16.3,13.7,19.4,18.2,20.8,16.5,25.9,11.2,12.3,9.1,16.2,5.4,2.8,1.8,4.2,4,4.5,2.7,7.2,1.4,1.3,0.5,2.9,"Chautauqua"
"159","Esophagus",12.2,6.9,5.2,9.1,8.8,10.9,7.8,14.9,3.4,3.5,2,5.9,9.6,5.7,4.1,7.7,7.4,9.1,6.3,12.7,2.2,2.8,1.3,5.3,"Chautauqua"
"160","Stomach",12.6,7,5.3,9.2,9.6,11.7,8.5,15.8,3,3.2,1.7,5.5,5.2,2.7,1.8,4.1,4.4,5.2,3.2,8,0.8,0.8,0.2,2.3,"Chautauqua"
"161","Colorectal",60.4,34.2,30.3,38.5,31.2,38.7,32.7,45.6,29.2,30.3,25.3,36.1,26,13.8,11.5,16.5,13.2,15.8,12.2,20.3,12.8,12.4,9.5,16.1,"Chautauqua"
"162","Colon excluding rectum",43.8,24.7,21.4,28.4,21.8,27.6,22.5,33.5,22,22.1,18,27,21.6,11.3,9.2,13.8,11,13,9.8,17.1,10.6,10.2,7.5,13.6,"Chautauqua"
"163","Rectum & rectosigmoid",16.6,9.5,7.5,12,9.4,11.2,8.1,15.1,7.2,8.2,5.6,11.7,4.4,2.5,1.5,3.8,2.2,2.8,1.4,5.1,2.2,2.2,1.1,4.2,"Chautauqua"
"164","Liver / intrahepatic bile duct",14.8,7.7,6,9.7,11.8,12.8,9.7,16.7,3,3,1.6,5.2,11.2,5.6,4.2,7.4,8.4,8.8,6.3,12.1,2.8,2.7,1.4,4.8,"Chautauqua"
"165","Pancreas",22,11.5,9.4,14,9.8,10.8,7.9,14.5,12.2,11.9,9,15.7,18,9.4,7.5,11.7,6.6,7.3,5,10.5,11.4,10.9,8.2,14.5,"Chautauqua"
"166","Larynx",7,3.6,2.5,5.2,5.4,5.9,3.9,8.8,1.6,1.6,0.7,3.5,2.8,1.3,0.7,2.3,2.4,2.5,1.3,4.6,0.4,0.3,0,1.6,"Chautauqua"
"167","Lung and bronchus",132.6,71.7,66.2,77.6,68.2,79.9,71.4,89.2,64.4,65.8,58.6,73.8,88.6,47.1,42.7,51.9,47,55.6,48.6,63.5,41.6,40.5,35,46.7,"Chautauqua"
"168","Melanoma of the skin",43.4,26.7,23,30.8,25,31.7,26.2,38.1,18.4,23.1,18.2,28.9,4.4,2.4,1.5,3.8,2.2,2.7,1.3,5.1,2.2,2.2,1,4.4,"Chautauqua"
"169","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,121.4,136.2,124.9,148.4,NA,NA,NA,NA,NA,NA,NA,NA,15.4,14.9,11.6,19,"Chautauqua"
"170","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,5.8,7.9,5.1,11.7,NA,NA,NA,NA,NA,NA,NA,NA,2,1.9,0.9,3.8,"Chautauqua"
"171","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,32.8,36.9,31.1,43.6,NA,NA,NA,NA,NA,NA,NA,NA,5.4,5.4,3.5,8.2,"Chautauqua"
"172","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,10.6,11.6,8.5,15.5,NA,NA,NA,NA,NA,NA,NA,NA,6,6.5,4.3,9.6,"Chautauqua"
"173","Prostate",NA,NA,NA,NA,148.2,159,147.5,171.3,NA,NA,NA,NA,NA,NA,NA,NA,10.6,12.6,9.4,16.7,NA,NA,NA,NA,"Chautauqua"
"174","Testis",NA,NA,NA,NA,4.8,8.2,5.2,12.3,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0,1.7,NA,NA,NA,NA,"Chautauqua"
"175","Urinary bladder (incl. in situ)",56.8,30.4,26.9,34.3,43.2,51.6,44.8,59.2,13.6,13,10,16.8,9.8,5.1,3.8,6.8,6.6,8,5.5,11.4,3.2,3,1.7,5.1,"Chautauqua"
"176","Kidney and renal pelvis",30.8,18,15.1,21.4,21.4,26.3,21.3,32.2,9.4,10.8,7.7,14.8,7.2,3.7,2.6,5.3,4.4,5.4,3.3,8.3,2.8,2.4,1.3,4.3,"Chautauqua"
"177","Brain and other central nervous system",11.6,7.7,5.8,10.2,6.2,8.8,5.8,12.7,5.4,6.8,4.3,10.2,7.8,4.6,3.2,6.5,4.4,5.9,3.6,9.2,3.4,3.7,2,6.2,"Chautauqua"
"178","Thyroid",22.8,17.2,14,20.9,4.8,6.4,3.9,9.8,18,28.1,22.2,34.9,0.8,0.4,0.1,1.2,0.6,0.7,0.1,2.2,0.2,0.1,0,1.3,"Chautauqua"
"179","Hodgkin lymphoma",4.8,3.8,2.4,5.8,1.6,2.6,1.1,5.2,3.2,5.1,2.9,8.5,0.6,0.3,0.1,1.1,0.2,0.3,0,1.7,0.4,0.4,0,1.7,"Chautauqua"
"180","Non-Hodgkin lymphomas",36.6,20.6,17.6,24,19,23.4,18.8,29,17.6,18,14.2,22.5,10.8,5.6,4.2,7.4,5.2,6.4,4.2,9.6,5.6,5,3.3,7.6,"Chautauqua"
"181","Myeloma",12.8,7.1,5.4,9.2,7.4,8.9,6.1,12.5,5.4,5.6,3.6,8.4,4.8,2.6,1.6,3.9,1.8,2.2,1,4.3,3,3,1.6,5.1,"Chautauqua"
"182","Leukemias",30.2,16.6,14,19.7,16.2,19.7,15.5,24.8,14,13.8,10.6,17.8,10.8,5.6,4.2,7.5,6.8,8.1,5.5,11.5,4,3.6,2.1,5.8,"Chautauqua"
"183","All Invasive Malignant Tumors",608.8,537.4,517.8,557.7,310.6,583.3,553.8,614,298.2,507.9,480.9,536,198.6,165.1,154.7,176.1,106.6,202.6,185.4,221,92,136.2,123.5,149.9,"Chemung"
"184","Oral cavity and pharynx",13.8,13,9.9,16.7,11,21.8,16.2,28.8,2.8,4.7,2.5,8.2,2.2,2,1,3.6,1.2,2.5,0.9,5.6,1,1.2,0.4,3.4,"Chemung"
"185","Esophagus",7.4,6.5,4.5,9,5.8,10.8,7.1,15.8,1.6,2.6,1.1,5.4,6.8,5.6,3.8,7.9,5.6,10.2,6.8,15,1.2,1.7,0.6,4.2,"Chemung"
"186","Stomach",7,6,4.1,8.4,4.8,8.9,5.7,13.6,2.2,3.5,1.7,6.7,2.6,2.3,1.2,4.1,2.2,4,2,7.4,0.4,0.9,0.1,3.4,"Chemung"
"187","Colorectal",39.6,36.1,31,41.7,24,46.9,38.7,56.4,15.6,27,21,34.3,12.2,10.1,7.7,13.2,8,15.4,10.9,21.2,4.2,5.8,3.5,9.3,"Chemung"
"188","Colon excluding rectum",29.8,26.5,22.3,31.4,16.4,31.9,25.2,39.9,13.4,22.3,16.9,28.8,10.4,8.8,6.5,11.7,7,13.4,9.2,18.9,3.4,4.8,2.7,8.2,"Chemung"
"189","Rectum & rectosigmoid",9.8,9.5,7,12.8,7.6,15,10.5,20.8,2.2,4.8,2.3,8.8,1.8,1.3,0.6,2.7,1,2,0.6,4.8,0.8,1,0.3,3.1,"Chemung"
"190","Liver / intrahepatic bile duct",7.8,6.5,4.6,9,5.4,9.6,6.3,14.3,2.4,3.6,1.9,6.7,7,5.7,3.9,8,4.6,8.5,5.3,13,2.4,3.2,1.6,6,"Chemung"
"191","Pancreas",17.4,14.3,11.4,17.9,8.8,15.9,11.5,21.6,8.6,13.1,9.3,18.2,14.2,11.3,8.8,14.4,7.4,13.5,9.5,18.9,6.8,9.3,6.4,13.3,"Chemung"
"192","Larynx",4.8,4.2,2.7,6.4,4,7.5,4.5,11.9,0.8,1.2,0.3,3.6,0.8,0.7,0.2,1.9,0.8,1.5,0.4,4.1,0,0,0,1.8,"Chemung"
"193","Lung and bronchus",87.2,72.7,65.9,80.1,46.6,86.2,75.3,98.4,40.6,61.9,53.4,71.5,53.2,44.2,38.9,50,29.4,54.6,45.9,64.5,23.8,35.9,29.6,43.3,"Chemung"
"194","Melanoma of the skin",24.2,22.5,18.5,27.1,15,28.1,22,35.5,9.2,19,13.6,25.9,2.6,2.2,1.1,3.9,2.4,4.3,2.2,7.8,0.2,0.3,0,2.3,"Chemung"
"195","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,80.4,139.3,125.2,154.6,NA,NA,NA,NA,NA,NA,NA,NA,12.8,19.1,14.6,24.9,"Chemung"
"196","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,3.2,6.8,3.7,11.3,NA,NA,NA,NA,NA,NA,NA,NA,1.4,2.8,1,6.1,"Chemung"
"197","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,19.6,32.9,26.4,40.7,NA,NA,NA,NA,NA,NA,NA,NA,1.8,3.2,1.4,6.4,"Chemung"
"198","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,7.6,11.8,8.2,16.6,NA,NA,NA,NA,NA,NA,NA,NA,7,9.8,6.8,14.1,"Chemung"
"199","Prostate",NA,NA,NA,NA,63.8,110.3,98.3,123.5,NA,NA,NA,NA,NA,NA,NA,NA,11.4,22.1,16.7,28.8,NA,NA,NA,NA,"Chemung"
"200","Testis",NA,NA,NA,NA,3.8,8.9,5.3,14.1,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.7,0.4,4.9,NA,NA,NA,NA,"Chemung"
"201","Urinary bladder (incl. in situ)",33.2,27.7,23.6,32.4,23.6,44,36.3,53,9.6,14.7,10.8,19.9,6.6,5.2,3.6,7.5,3.4,6.3,3.7,10.3,3.2,4.7,2.7,8.1,"Chemung"
"202","Kidney and renal pelvis",21.6,18.6,15.2,22.7,14,25.5,19.8,32.6,7.6,12.7,8.8,17.8,5.4,4.6,3,6.9,3.6,7,4.1,11.3,1.8,2.7,1.2,5.5,"Chemung"
"203","Brain and other central nervous system",8.6,9.2,6.5,12.5,4.8,10.2,6.4,15.4,3.8,8.5,5,13.5,4.4,4.2,2.6,6.6,3,6.3,3.5,10.7,1.4,2.3,0.9,5.1,"Chemung"
"204","Thyroid",16.8,18.7,14.8,23.4,5,10.8,6.9,16.2,11.8,26.9,20.1,35.1,0.6,0.4,0.1,1.5,0,0,0,1.8,0.6,0.7,0.1,2.7,"Chemung"
"205","Hodgkin lymphoma",2.2,2.5,1.2,4.5,1.4,3.3,1.3,6.8,0.8,1.8,0.4,4.8,0.4,0.3,0,1.3,0.2,0.3,0,2.2,0.2,0.3,0,2.1,"Chemung"
"206","Non-Hodgkin lymphomas",25.4,22.1,18.3,26.5,14,27.1,21,34.6,11.4,17.4,13.1,22.8,8.2,6.7,4.7,9.2,4.6,9.2,5.8,13.9,3.6,5,2.9,8.4,"Chemung"
"207","Myeloma",9.4,7.8,5.7,10.6,5,9,5.8,13.6,4.4,6.9,4.2,10.9,3.4,3,1.7,5,1.4,2.8,1.1,6,2,3.2,1.4,6.3,"Chemung"
"208","Leukemias",19.4,17.5,14.1,21.5,9.4,18.5,13.5,24.8,10,16.9,12.3,22.7,7.6,6.2,4.4,8.7,3.6,7.2,4.2,11.5,4,5.8,3.4,9.4,"Chemung"
"209","All Invasive Malignant Tumors",364.4,534.8,509.3,561.3,181.8,537.3,501.6,575.2,182.6,540.7,504.1,579.6,114.8,160.9,147.6,175.2,57.2,172.3,152.5,194.3,57.6,155.2,137,175.4,"Chenango"
"210","Oral cavity and pharynx",10.6,15.1,11.1,20.1,7.8,22.7,15.8,31.8,2.8,7.7,4,13.7,1.6,2.3,1,4.8,1.2,3.3,1.2,7.9,0.4,1.3,0.2,5.2,"Chenango"
"211","Esophagus",4.8,6.2,4,9.6,3.6,9.6,5.6,15.8,1.2,3.1,1.1,7.6,2.4,3.2,1.7,6,1.2,3.5,1.3,8.3,1.2,3,1.1,7.4,"Chenango"
"212","Stomach",3.8,6.1,3.5,9.8,1.2,4,1.3,9.4,2.6,7.9,4.1,14.3,2.2,3.4,1.6,6.4,1.4,4.3,1.6,9.6,0.8,2.5,0.7,6.9,"Chenango"
"213","Colorectal",31.8,46.1,39,54.3,16.4,49.9,39.3,62.8,15.4,42.9,33.6,54.4,10,14.2,10.5,19.1,3.6,10.7,6.2,17.7,6.4,17.1,11.6,24.8,"Chenango"
"214","Colon excluding rectum",24.8,35.9,29.7,43.3,12,36.9,27.7,48.3,12.8,35.3,26.9,45.7,9,13,9.4,17.7,3,9.1,4.9,15.7,6,16.2,10.9,23.8,"Chenango"
"215","Rectum & rectosigmoid",7,10.2,7,14.5,4.4,13,8.1,20.3,2.6,7.6,3.9,13.9,1,1.2,0.4,3.3,0.6,1.7,0.3,5.7,0.4,0.9,0.1,4.4,"Chenango"
"216","Liver / intrahepatic bile duct",3.8,4.9,2.9,8,2.4,6.2,3.2,11.6,1.4,3.7,1.5,8.4,2,3,1.3,5.8,0.8,2,0.5,6,1.2,4,1.3,9.4,"Chenango"
"217","Pancreas",10.2,14.4,10.7,19.2,5,15,9.6,22.6,5.2,14,9.1,21.1,9,12.4,9,16.9,4.8,15,9.5,22.8,4.2,10.2,6.3,16.2,"Chenango"
"218","Larynx",2.6,3.6,1.8,6.5,1.8,5.1,2.3,10.4,0.8,2.2,0.5,6.6,0.8,0.9,0.3,2.9,0.8,2.1,0.5,6.2,0,0,0,3.3,"Chenango"
"219","Lung and bronchus",53.4,73.2,64.4,83,27,76.7,64,91.5,26.4,71.3,59.3,85.3,32.8,45.1,38.3,52.9,16.8,48.1,38.2,60.1,16,43,33.8,54.3,"Chenango"
"220","Melanoma of the skin",16.4,25.1,19.7,31.6,10,32.3,23.6,43.4,6.4,18.9,12.5,27.7,1.4,1.8,0.7,4.1,0.8,2.4,0.6,6.8,0.6,1.4,0.3,5.1,"Chenango"
"221","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,46.8,138.1,120,158.4,NA,NA,NA,NA,NA,NA,NA,NA,6.6,18.8,12.5,27.4,"Chenango"
"222","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,3.4,12.9,7.2,21.3,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2.3,0.4,7.2,"Chenango"
"223","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,16.8,53.1,41.5,67.1,NA,NA,NA,NA,NA,NA,NA,NA,1.2,2.9,1.1,7.2,"Chenango"
"224","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,4.6,14.9,9.1,23.2,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2.3,10,"Chenango"
"225","Prostate",NA,NA,NA,NA,38.6,103,88.7,119.3,NA,NA,NA,NA,NA,NA,NA,NA,6,19.5,13.1,28.2,NA,NA,NA,NA,"Chenango"
"226","Testis",NA,NA,NA,NA,1.2,6.4,2.3,13.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.2,NA,NA,NA,NA,"Chenango"
"227","Urinary bladder (incl. in situ)",17.8,24.1,19.3,29.9,15.2,44.2,34.6,55.9,2.6,6.9,3.6,12.4,4.4,6.2,3.8,9.6,3.6,11.4,6.7,18.4,0.8,1.9,0.5,5.9,"Chenango"
"228","Kidney and renal pelvis",16.4,24.5,19.2,30.8,9.6,27.8,20.3,37.6,6.8,21.4,14.4,30.8,2.4,3.2,1.6,5.9,1.6,5,2.1,10.4,0.8,1.9,0.5,5.8,"Chenango"
"229","Brain and other central nervous system",4.8,9.1,5.6,13.8,2.4,9.2,4.6,16.6,2.4,9,4.4,16.5,2,3.6,1.6,6.9,1,3.5,1.1,8.6,1,3.9,1.1,9.8,"Chenango"
"230","Thyroid",11.6,21.8,16.2,28.8,3.2,11.2,6.1,18.9,8.4,32.9,23.1,45.4,0.2,0.3,0,2,0.2,0.7,0,4.3,0,0,0,3.3,"Chenango"
"231","Hodgkin lymphoma",1.6,3.2,1.3,6.6,1,4.4,1.3,10.4,0.6,2.1,0.4,6.7,0,0,0,1.6,0,0,0,3.2,0,0,0,3.3,"Chenango"
"232","Non-Hodgkin lymphomas",13.8,20.4,15.7,26.2,7.8,24.8,17.4,34.5,6,16.6,10.9,24.5,5,6.9,4.4,10.6,2.6,7.6,4,13.7,2.4,6.7,3.4,12.3,"Chenango"
"233","Myeloma",3.6,5.3,3,8.7,2.2,6.8,3.2,12.8,1.4,3.9,1.5,8.6,1,1.5,0.5,3.8,0.6,1.9,0.4,6.2,0.4,1.2,0.1,5.1,"Chenango"
"234","Leukemias",13.2,19.5,14.8,25.3,7.2,22.6,15.4,32.2,6,16.2,10.8,23.9,5,7.3,4.6,11.2,2.4,7.6,3.8,14,2.6,7,3.6,12.9,"Chenango"
"235","All Invasive Malignant Tumors",523,515.1,495,535.9,271.2,551.7,521.9,582.8,251.8,493.8,465.6,523.3,157,154.2,143.4,165.6,87.4,187.3,169.7,206.3,69.6,129.1,115.5,144,"Clinton"
"236","Oral cavity and pharynx",12.4,12.2,9.2,15.8,8.4,17,12.1,23.3,4,7.5,4.5,12,2,2,0.9,3.8,1.2,2.4,0.8,5.5,0.8,1.3,0.4,3.9,"Clinton"
"237","Esophagus",6,5.3,3.6,7.8,4.8,9.1,5.7,13.8,1.2,2,0.7,4.9,4.8,4.6,2.9,6.9,3.8,7.4,4.4,11.9,1,2.1,0.6,5.1,"Clinton"
"238","Stomach",6.6,6.6,4.4,9.4,5,9.7,6.2,14.7,1.6,3.7,1.5,7.6,2.2,2,1,3.8,1.8,3.3,1.5,6.7,0.4,0.8,0.1,3.3,"Clinton"
"239","Colorectal",37.8,39.1,33.6,45.4,20.6,44.9,36.5,54.8,17.2,33.9,26.8,42.5,11.4,11.2,8.5,14.6,7,15,10.4,21.1,4.4,7.8,4.8,12.2,"Clinton"
"240","Colon excluding rectum",26.2,26.7,22.2,31.8,14.4,31.4,24.4,39.8,11.8,21.9,16.5,28.7,8.6,8.6,6.2,11.6,5.4,11.8,7.7,17.3,3.2,5.5,3.1,9.4,"Clinton"
"241","Rectum & rectosigmoid",11.6,12.5,9.4,16.3,6.2,13.5,9.1,19.4,5.4,12,7.7,18,2.8,2.7,1.4,4.6,1.6,3.2,1.4,6.6,1.2,2.3,0.8,5.4,"Clinton"
"242","Liver / intrahepatic bile duct",9,8.4,6.1,11.4,6,11.5,7.7,16.8,3,5.5,3,9.5,5,4.7,3,7.1,2.8,5.2,2.8,9.1,2.2,4.2,2,7.9,"Clinton"
"243","Pancreas",13.8,13,10.1,16.6,6.6,12.9,8.8,18.4,7.2,13,9.1,18.3,10.2,9.6,7.1,12.8,4.8,9.6,6.1,14.6,5.4,9.4,6.2,14.1,"Clinton"
"244","Larynx",3.8,3.2,1.9,5.1,3,5.2,2.9,8.9,0.8,1.2,0.3,3.7,0.8,0.7,0.2,2,0.8,1.4,0.4,4.1,0,0,0,2,"Clinton"
"245","Lung and bronchus",102,97.8,89.3,106.9,51.8,106,93.2,120.2,50.2,91.9,80.6,104.5,47.8,46.4,40.6,52.8,26.4,55.1,45.9,65.7,21.4,39.1,31.9,47.7,"Clinton"
"246","Melanoma of the skin",24.4,25,20.6,30,13.4,27.2,20.9,34.9,11,23.5,17.4,31.1,1.6,1.7,0.7,3.4,1.2,2.7,1,6.1,0.4,0.8,0.1,3.2,"Clinton"
"247","Female breast",NA,NA,NA,NA,NA,NA,NA,NA,57.6,117.1,103.2,132.5,NA,NA,NA,NA,NA,NA,NA,NA,7.8,15.3,10.7,21.4,"Clinton"
"248","Cervix uteri",NA,NA,NA,NA,NA,NA,NA,NA,1.8,5.2,2.3,10,NA,NA,NA,NA,NA,NA,NA,NA,1,2.9,0.9,6.9,"Clinton"
"249","Corpus uterus and NOS",NA,NA,NA,NA,NA,NA,NA,NA,15,26,20.3,32.9,NA,NA,NA,NA,NA,NA,NA,NA,1.4,2.5,1,5.5,"Clinton"
"250","Ovary",NA,NA,NA,NA,NA,NA,NA,NA,5.2,10.7,6.8,16.1,NA,NA,NA,NA,NA,NA,NA,NA,2.8,5,2.7,8.7,"Clinton"
"251","Prostate",NA,NA,NA,NA,49.6,92,80.7,104.7,NA,NA,NA,NA,NA,NA,NA,NA,7.8,17.5,12.3,24.1,NA,NA,NA,NA,"Clinton"
"252","Testis",NA,NA,NA,NA,2.8,6.8,3.7,11.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.9,NA,NA,NA,NA,"Clinton"
"253","Urinary bladder (incl. in situ)",24.8,23.8,19.7,28.5,20,41.9,33.9,51.4,4.8,8.1,5.1,12.3,4.6,4.5,2.8,6.8,3.8,8.4,5,13.3,0.8,1.3,0.4,3.9,"Clinton"
